tau,s_tmp,cash,delta,pv,r,q,PL,
445,182.525,0.689021,0.00161949,0.986732,0.014774,-0.000965951,-0.211%,
446,182.326,0.689073,0.00161936,0.986422,0.0147674,-0.0010625,-0.210%,
447,181.863,0.690607,0.00161107,0.985686,0.0147608,-0.00115904,-0.209%,
448,180.023,0.692183,0.00160246,0.982736,0.0147542,-0.00125558,-0.207%,0.288479657
449,175.873,0.936609,0.000212827,0.979489,0.0147477,-0.00135213,-0.545%,0.037430523
450,179.328,0.930188,0.000248844,0.9803,0.0147411,-0.00144867,-0.549%,
451,180.783,0.928033,0.000260971,0.980677,0.0147345,0.00118377,-0.546%,
452,176.363,0.934832,0.000222637,0.979641,0.0147279,0.0010993,-0.554%,
453,175.08,0.937091,0.000209949,0.979382,0.0147214,0.00101483,-0.553%,
454,174.072,0.939281,0.000197586,0.979193,0.0147148,0.000930365,-0.552%,
455,173.412,0.939446,0.000196853,0.979081,0.0147082,0.000845896,-0.550%,
456,169.996,0.94517,0.000163406,0.978484,0.0147016,0.000761428,-0.554%,
457,168.223,0.946995,0.000152782,0.978225,0.0146951,0.000676959,-0.553%,
458,169.657,0.945391,0.000162462,0.97848,0.0146885,0.000592491,-0.553%,
459,168.322,0.947214,0.000151855,0.978294,0.0146819,0.000508022,-0.552%,
460,167.73,0.94733,0.00015139,0.978231,0.0146753,0.000423554,-0.551%,
461,164.09,0.952042,0.00012291,0.977757,0.0146688,0.000339085,-0.555%,
462,167.225,0.947473,0.000150458,0.978212,0.0146622,0.000254617,-0.558%,
