tau,s_tmp,cash,delta,pv,r,q,PL
327,225.224,-0.235987,0.00486348,0.863243,0.0152332,0.0347694,-0.00385739
328,218.971,-0.339032,0.00533448,0.831612,0.0152244,0.0348286,-0.00254613
329,223.05,-0.277078,0.00505717,0.853024,0.0152156,0.0348879,-0.00209943
330,222.561,-0.277491,0.00505946,0.850833,0.0152068,0.0349471,-0.00228561
331,222.949,-0.278191,0.00506258,0.853004,0.0151981,0.00195837,-0.00249862
332,218.209,-0.340482,0.00534802,0.828472,0.0151893,0.00181854,-0.0019696
333,216.882,-0.361321,0.00544406,0.821477,0.0151805,0.0016787,-0.00207954
334,217.268,-0.362195,0.00544804,0.823741,0.0151718,0.00153887,-0.00225215
335,211.721,-0.428445,0.0057609,0.792921,0.015163,0.00139903,-0.00166387
336,211.28,-0.429443,0.00576555,0.790543,0.0151542,0.00125919,-0.00183953
337,212.88,-0.414822,0.00569681,0.799836,0.0151455,0.00111936,-0.00192169
338,210.74,-0.431297,0.00577492,0.787715,0.0151367,0.00097952,-0.00200598
339,206.221,-0.475404,0.00598873,0.761192,0.0151279,0.000839683,-0.0015944
340,205.786,-0.489898,0.00605907,0.75869,0.0151192,0.000699847,-0.00171553
341,207.078,-0.477471,0.00599898,0.766568,0.0151104,0.000560011,-0.00178325
342,204.916,-0.491957,0.00606958,0.753663,0.0151016,0.000420174,-0.00186607
343,207.829,-0.46532,0.00594131,0.771304,0.0150929,0.000280338,-0.00184642
344,208.663,-0.466398,0.0059464,0.776378,0.0150841,0.000140501,-0.0019838
345,207.269,-0.481618,0.00601973,0.768207,0.0150753,6.65126e-07,-0.00212154
346,208.872,-0.453697,0.00588596,0.777879,0.0150666,-0.000139171,-0.0021639
347,208.394,-0.469514,0.00596176,0.775178,0.0150578,-0.000279008,-0.00229629
348,209.618,-0.455751,0.005896,0.782563,0.015049,-0.000418844,-0.00240473
349,210.389,-0.441428,0.00582783,0.78722,0.0150403,-0.00055868,-0.00253716
350,211.834,-0.426524,0.00575738,0.795782,0.0150315,-0.000698517,-0.00269784
351,213.092,-0.427567,0.00576217,0.803181,0.0150227,-0.000838353,-0.00287433
352,212.488,-0.428611,0.00576699,0.799871,0.015014,-0.000978189,-0.00306582
353,208.234,-0.475718,0.00599311,0.774999,0.0150052,-0.00111803,-0.00274823
354,206.286,-0.491137,0.00606774,0.763367,0.0149964,-0.00125786,-0.00281393
355,206.896,-0.492291,0.00607319,0.767186,0.0149877,-0.0013977,-0.00295736
356,205.513,-0.507201,0.00614562,0.758875,0.0149789,-0.00153753,-0.0030702
357,206.103,-0.494564,0.00608418,0.762596,0.0149701,-0.00167737,-0.00319261
358,208.137,-0.481209,0.00601989,0.775054,0.0149614,-0.00181721,-0.00330156
359,211.94,-0.434907,0.00580129,0.797712,0.0149526,-0.00195704,-0.00309308
360,220.368,-0.337578,0.00535958,0.845053,0.0149438,0.00177441,-0.00155159
361,222.619,-0.293407,0.00516112,0.857089,0.0149351,0.00165608,-0.00153146
362,223.408,-0.294165,0.00516448,0.861358,0.0149263,0.00153775,-0.0017355
363,220.779,-0.317454,0.00526994,0.847828,0.0149175,0.00141942,-0.00179105
364,222.61,-0.295491,0.00517123,0.857655,0.0149088,0.00130109,-0.00197739
365,220.957,-0.318922,0.00527724,0.849172,0.0153,0.00118276,-0.00205149
366,220.508,-0.342235,0.00538292,0.846977,0.0152934,0.00106443,-0.00223535
367,220.779,-0.32054,0.0052846,0.84862,0.0152868,0.000946104,-0.00243084
368,221.908,-0.321371,0.0052883,0.854797,0.0152803,0.000827775,-0.0026527
369,220.812,-0.322201,0.00529201,0.849192,0.0152737,0.000709446,-0.00285517
370,215.257,-0.408551,0.0056931,0.81869,0.0152671,0.000591117,-0.00176196
371,214.411,-0.427361,0.00578076,0.814009,0.0152605,0.000472787,-0.00191265
372,211.639,-0.462412,0.00594629,0.797992,0.015254,0.000354458,-0.00193588
373,206.59,-0.509822,0.00617569,0.767616,0.0152474,0.000236129,-0.00160186
374,204.572,-0.525238,0.00625095,0.755165,0.0152408,0.0001178,-0.00163413
375,207.366,-0.49712,0.00611525,0.772646,0.0152342,-5.29523e-07,-0.00167174
376,204.571,-0.527422,0.00626327,0.755389,0.0152277,-0.000118859,-0.00152858
377,206.239,-0.514332,0.00619969,0.76594,0.0152211,-0.000237188,-0.00165481
378,204.528,-0.529901,0.0062757,0.755348,0.0152145,-0.000355517,-0.00169338
379,202.454,-0.557579,0.00641229,0.742288,0.0152079,-0.000473846,-0.00167313
380,201.264,-0.570338,0.00647556,0.734736,0.0152014,-0.000592176,-0.00177619
381,198.432,-0.581597,0.00653217,0.716397,0.0151948,-0.000710505,-0.00180235
382,200.295,-0.572996,0.00648909,0.728642,0.0151882,-0.000828834,-0.0019049
383,196.599,-0.601611,0.0066345,0.704454,0.0151816,-0.000947163,-0.00172785
384,198.086,-0.594672,0.00659933,0.71434,0.0151751,-0.00106549,-0.00177802
385,200.645,-0.576697,0.0065096,0.731185,0.0151685,-0.00118382,-0.00176426
386,201.806,-0.566503,0.00645894,0.738809,0.0151619,-0.00130215,-0.00185839
387,201.024,-0.579483,0.00652337,0.733823,0.0151553,-0.00142048,-0.00195275
388,202.342,-0.569209,0.00647245,0.742471,0.0151488,-0.00153881,-0.00203229
389,200.576,-0.582224,0.00653719,0.731084,0.0151422,-0.00165714,-0.00210519
390,201.799,-0.571795,0.00648587,0.739247,0.0151356,0.0267992,-0.00220039
391,200.277,-0.584748,0.0065509,0.729497,0.015129,0.0268274,-0.00224992
392,198.452,-0.596249,0.00660922,0.717635,0.0151225,0.0268556,-0.00227182
393,199.137,-0.597584,0.00661628,0.72236,0.0151159,0.0268839,-0.00239769
394,198.474,-0.598914,0.00662335,0.718134,0.0151093,0.0269121,-0.00248608
395,200.787,-0.589817,0.00657841,0.733614,0.0151027,0.0269403,-0.00257307
396,197.97,-0.611013,0.00668583,0.715132,0.0150962,0.0269685,-0.00255013
397,193.598,-0.635589,0.00681314,0.685808,0.0150896,0.0269967,-0.00238647
398,195.465,-0.622192,0.00674497,0.698625,0.015083,0.0270249,-0.00241061
399,195.305,-0.631481,0.0067929,0.697699,0.0150764,0.0270531,-0.00249181
400,196.012,-0.624928,0.00675984,0.70265,0.0150699,0.0270813,-0.00256801
401,201.213,-0.59667,0.00661978,0.737597,0.0150633,0.0271095,-0.00228193
402,202.449,-0.585748,0.0065662,0.745932,0.0150567,0.0271377,-0.00235965
