PX%,발행시,6개월후,12개월후,18개월후,24개월후,30개월후,만기,PX,델타(발행시),델타(6개월),델타(12개월),델타(18개월),델타(24개월),델타(30개월),델타(만기),감마(발행시),감마(6개월),감마(12개월),감마(18개월),감마(24개월),감마(30개월),감마(만기),,발행시,6개월후,12개월후,18개월후,24개월후,30개월후,만기,발행시 VEGA,6개월후VEGA,12개월후VEGA,18개월후VEGA,24개월후VEGA,30개월후VEGA,만기VEGA
31%,95.62%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,90.6521,0.15%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.956255,0.964401,0.971863,0.979089,0.986093,0.993078,1,-0.008%,-0.001%,0.000%,0.000%,0.000%,0.000%,0.000%
31%,95.62%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,92.1382,0.17%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.956289,0.964405,0.971863,0.979089,0.986093,0.993078,1,-0.009%,-0.001%,0.000%,0.000%,0.000%,0.000%,0.000%
32%,95.62%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,93.6243,0.19%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.956326,0.964411,0.971864,0.979089,0.986093,0.993078,1,-0.009%,-0.002%,0.000%,0.000%,0.000%,0.000%,0.000%
32%,95.63%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,95.1104,0.21%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.956365,0.964417,0.971864,0.979089,0.986093,0.993078,1,-0.010%,-0.002%,0.000%,0.000%,0.000%,0.000%,0.000%
33%,95.63%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,96.5965,0.23%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.956408,0.964424,0.971865,0.979089,0.986093,0.993078,1,-0.011%,-0.002%,0.000%,0.000%,0.000%,0.000%,0.000%
33%,95.63%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,98.0826,0.25%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.956454,0.964432,0.971866,0.979089,0.986093,0.993078,1,-0.012%,-0.002%,0.000%,0.000%,0.000%,0.000%,0.000%
34%,95.64%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,99.5687,0.28%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.956504,0.96444,0.971867,0.979089,0.986093,0.993078,1,-0.013%,-0.003%,0.000%,0.000%,0.000%,0.000%,0.000%
34%,95.64%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,101.055,0.30%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.956557,0.96445,0.971868,0.979089,0.986093,0.993078,1,-0.014%,-0.003%,0.000%,0.000%,0.000%,0.000%,0.000%
35%,95.65%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,102.541,0.33%,0.06%,0.01%,0.00%,0.00%,0.00%,0.00%,-0.02%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.956614,0.964462,0.97187,0.979089,0.986093,0.993078,1,-0.015%,-0.004%,-0.001%,0.000%,0.000%,0.000%,0.000%
35%,95.65%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,104.027,0.36%,0.06%,0.01%,0.00%,0.00%,0.00%,0.00%,-0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.956674,0.964474,0.971871,0.979089,0.986093,0.993078,1,-0.016%,-0.004%,-0.001%,0.000%,0.000%,0.000%,0.000%
