tau,s_tmp,cash,delta,pv,r_for,q,PL,delta,,
59,282.288,0.436517,0.00190216,0.977242,0.0181593,-0.00250012,-0.38%,0.536956942,,
60,279.128,0.390657,0.00206656,0.971144,0.0181637,0.00453701,-0.37%,0.57683476,,
61,279.917,0.391132,0.00206496,0.972968,0.0181681,0.00423455,-0.38%,0.578017408,,
62,284.572,0.461772,0.00181682,0.982033,0.0181726,0.00393208,-0.32%,0.517016101,,
63,281.658,0.439915,0.00189452,0.976827,0.018177,0.00362962,-0.33%,0.533606714,,
64,280.064,0.393529,0.00206024,0.973881,0.0181814,0.00332716,-0.34%,0.576999055,,
65,283.822,0.464387,0.00181067,0.981292,0.0181859,0.0030247,-0.30%,0.513907981,,
66,281.661,0.442386,0.00188887,0.977441,0.0181903,0.00272223,-0.30%,0.532021013,,
67,277.051,0.346713,0.00223429,0.968153,0.0181947,0.00241977,-0.24%,0.619012279,,
68,278.778,0.39694,0.0020542,0.97206,0.0181992,0.00211731,-0.25%,0.572665768,,
69,276.736,0.347729,0.00223211,0.967881,0.0182036,0.00181484,-0.24%,0.617705193,,
70,277.197,0.373273,0.00214003,0.969098,0.018208,0.00151238,-0.26%,0.593209896,,
71,271.803,0.292441,0.0024375,0.956786,0.0182125,0.00120992,-0.18%,0.662519813,,
72,270.126,0.274617,0.00250354,0.952833,0.0182169,0.000907454,-0.19%,0.676271246,,
73,269.845,0.274811,0.00250288,0.952332,0.0182213,0.000604991,-0.21%,0.675389654,,
74,265.623,0.219647,0.00271061,0.941449,0.0182258,0.000302528,-0.18%,0.72000036,,
75,264.691,0.200666,0.00278236,0.939104,0.0182302,6.44829E-08,-0.20%,0.736465651,,
76,261.614,0.161699,0.00293134,0.930554,0.0182346,-0.000302399,-0.20%,0.766879583,,
77,260.619,0.144746,0.00299642,0.927836,0.0182391,-0.000604862,-0.22%,0.780923984,,
78,260.709,0.144821,0.00299615,0.92834,0.0182435,-0.000907325,-0.24%,0.78112327,,
79,263.085,0.182251,0.00285389,0.935504,0.0182479,-0.00120979,-0.24%,0.750815651,,
80,262.084,0.162411,0.00292962,0.932845,0.0182524,-0.00151225,-0.26%,0.767806528,,
81,260.024,0.145338,0.0029953,0.927003,0.0182568,-0.00181471,-0.28%,0.778849887,,
82,257.638,0.116551,0.00310704,0.919975,0.0182612,-0.00211718,-0.29%,0.800491572,,
83,258.715,0.131207,0.00305039,0.923515,0.0182657,-0.00241964,-0.31%,0.789181649,,
84,264.309,0.203938,0.00277522,0.940109,0.0182701,-0.0027221,-0.27%,0.733515623,,
85,264.409,0.204161,0.00277439,0.94062,0.0182745,-0.00302457,-0.29%,0.733573686,,
86,261.46,0.164329,0.00292675,0.932434,0.0182789,-0.00332703,-0.29%,0.765228055,,
87,260.734,0.146976,0.00299331,0.930516,0.0182834,-0.00362949,-0.31%,0.78045769,,
88,259.14,0.132456,0.00304934,0.925969,0.0182878,-0.00393196,-0.33%,0.790205968,,
89,256.136,0.102826,0.00316501,0.916936,0.0182922,-0.00423442,-0.34%,0.810673001,,
90,252.72,0.0725317,0.00328486,0.906202,0.0182967,-0.00453688,-0.35%,0.830149819,,
91,255.054,0.103133,0.00316492,0.913992,0.0183011,0.00211756,-0.36%,0.807225506,,
92,259.172,0.133468,0.00304791,0.927032,0.0173885,0.00196633,-0.36%,0.789932931,,
93,258.473,0.133607,0.00304741,0.925162,0.0173732,0.00181511,-0.39%,0.787673205,,
94,257.347,0.118762,0.00310513,0.92195,0.0173578,0.00166389,-0.41%,0.79909589,,
95,255.832,0.103677,0.00316413,0.917465,0.0173425,0.00151266,-0.43%,0.809485706,,
96,255.322,0.103749,0.00316388,0.916102,0.0173271,0.00136144,-0.45%,0.807808169,,
97,250.715,0.0574886,0.00334842,0.901285,0.0173118,0.00121022,-0.43%,0.83949912,,
98,249.897,0.0415492,0.00341223,0.89877,0.0172964,0.00105899,-0.45%,0.85270604,,
99,247.465,0.0254698,0.00347722,0.890613,0.0172811,0.000907772,-0.47%,0.860490247,,
100,250.845,0.0576048,0.00334913,0.902479,0.0172658,0.000756548,-0.48%,0.840112515,,
101,252.054,0.0735161,0.00328602,0.906764,0.0172504,0.000605325,-0.50%,0.828254485,,
102,256.45,0.120867,0.0031014,0.921165,0.0172351,0.000454102,-0.49%,0.79535403,,
103,258.843,0.136441,0.00304125,0.92879,0.0172197,0.000302879,-0.51%,0.787206274,,
104,261.051,0.170118,0.00291227,0.935633,0.0172044,0.000151655,-0.53%,0.760250996,,
105,261.429,0.1704,0.00291122,0.936999,0.017189,4.3195E-07,-0.55%,0.761077333,,
106,264.356,0.212866,0.00275061,0.945552,0.0171737,-0.000150791,-0.55%,0.727140257,,
107,264.834,0.21324,0.00274923,0.947108,0.0171584,-0.000302015,-0.58%,0.728089578,,
108,268.364,0.274242,0.00252196,0.956673,0.017143,-0.000453238,-0.56%,0.676803273,,
109,266.704,0.235012,0.00266909,0.952611,0.0171277,-0.000604461,-0.57%,0.711856979,,
110,267.35,0.25562,0.00259205,0.954551,0.0171123,-0.000755684,-0.59%,0.692984568,,
111,265.914,0.235975,0.00266596,0.951013,0.017097,-0.000906908,-0.61%,0.708916087,,
112,263.263,0.195005,0.00282162,0.943993,0.0170816,-0.00105813,-0.62%,0.742828146,,
113,259.62,0.155764,0.00297279,0.933653,0.0170663,-0.00120935,-0.61%,0.77179574,,
114,255.94,0.109153,0.00315493,0.92263,0.017051,-0.00136058,-0.60%,0.807472784,,
115,251.439,0.0603709,0.00334895,0.908319,0.0170356,-0.0015118,-0.59%,0.842056639,,
116,247.723,0.0267599,0.00348462,0.895866,0.0170203,-0.00166302,-0.59%,0.86322052,,
117,246.002,0.00955803,0.00355454,0.890021,0.0170049,-0.00181425,-0.60%,0.874423949,,
118,250.545,0.0612827,0.00334807,0.906098,0.0169896,-0.00196547,-0.60%,0.838842198,,
119,249.469,0.0443507,0.00341594,0.902707,0.0169742,-0.00211669,-0.62%,0.852171136,,
120,247.765,0.0271297,0.00348543,0.897063,0.0169589,-0.00226792,-0.64%,0.863567564,,
121,246.238,0.0108173,0.00355316,0.892297,0.0169436,0.154889,-0.66%,0.874923012,,
122,252.041,0.0821367,0.00327173,0.912872,0.0169282,0.157317,-0.61%,0.824610101,,
123,253.267,0.0836102,0.00326735,0.917513,0.0169129,0.159744,-0.64%,0.827511932,,
124,250.089,0.050427,0.00340151,0.90764,0.0168975,0.162172,-0.65%,0.850680234,,
125,246.625,0.0163025,0.00354142,0.896319,0.0168822,0.164599,-0.66%,0.873402708,,
126,245.136,0.00150448,0.00360341,0.891668,0.0168668,0.167027,-0.68%,0.883325514,,
127,242.445,-0.0256698,0.00371717,0.882517,0.0168515,0.169455,-0.70%,0.901209281,,
128,243.689,-0.0102632,0.00365569,0.887802,0.0168362,0.171882,-0.72%,0.89085144,,
129,242.672,-0.0236043,0.00371241,0.884767,0.0168208,0.17431,-0.75%,0.90089796,,
130,246.394,0.0232443,0.00352407,0.898949,0.0168055,0.176737,-0.74%,0.868309704,,
131,243.72,-0.0062652,0.00364688,0.890059,0.0167901,0.179165,-0.75%,0.888817594,,
132,241.148,-0.0345472,0.00376597,0.881276,0.0167748,0.181593,-0.77%,0.908156134,,
133,244.498,0.0113363,0.0035802,0.894336,0.0167595,0.18402,-0.76%,0.87535174,,
134,244.115,-0.00205549,0.00363689,0.893695,0.0167441,0.186448,-0.79%,0.887819402,,
135,247.021,0.0313635,0.00350349,0.90478,0.0167288,0.188876,-0.80%,0.865435603,,
136,248.648,0.052029,0.00342222,0.91112,0.0167134,0.191303,-0.82%,0.850928159,,
137,250.055,0.0725191,0.0033421,0.916466,0.0166981,0.193731,-0.82%,0.835708816,,
138,251.738,0.0930297,0.00326244,0.922595,0.0166827,0.196158,-0.83%,0.821280121,,
139,248.029,0.0571287,0.00340897,0.910903,0.0166674,0.198586,-0.82%,0.84552342,,
140,250.13,0.0779287,0.00332771,0.918592,0.0166521,0.201014,-0.83%,0.832360102,,
141,248.985,0.0796518,0.00332265,0.915417,0.0166367,0.203441,-0.85%,0.82729001,,
142,246.398,0.0431093,0.00347285,0.907222,0.0166214,0.205869,-0.84%,0.855703294,,
143,244.31,0.0118867,0.00360264,0.900508,0.016606,0.208297,-0.85%,0.880160978,,
144,242.182,-0.00233364,0.00366344,0.893497,0.0165907,0.210724,-0.86%,0.887219226,,
145,243.634,0.0150815,0.0035941,0.899465,0.0165753,0.213152,-0.87%,0.875644959,,
146,243.838,0.0166777,0.00358968,0.900893,0.01656,0.215579,-0.89%,0.875300392,,
147,247.657,0.0720894,0.00336808,0.914929,0.0165447,0.218007,-0.87%,0.834128589,,
