PX, vold, vold-volup,바닐라옵션 베가,바닐라옵션 vega(%),조기상환형 vega(%),헤지후 Net vega
402.733,0.126222,0.201527,0.075305,0.07%,-0.019%,0.05%
404.219,0.120191,0.192609,0.072418,0.06%,-0.017%,0.05%
405.705,0.114467,0.184111,0.069644,0.06%,-0.016%,0.05%
407.191,0.109036,0.176015,0.066979,0.06%,-0.016%,0.04%
408.678,0.103885,0.168303,0.064418,0.06%,-0.015%,0.04%
410.164,0.0989742,0.160926,0.0619518,0.06%,-0.014%,0.04%
411.65,0.0942936,0.15387,0.0595764,0.05%,-0.013%,0.04%
413.136,0.0898323,0.147119,0.0572867,0.05%,-0.012%,0.04%
414.622,0.08558,0.140662,0.055082,0.05%,-0.012%,0.04%
416.108,0.0815271,0.134485,0.0529579,0.05%,-0.011%,0.04%
417.594,0.0776642,0.128577,0.0509128,0.05%,-0.010%,0.04%
419.08,0.0739827,0.122926,0.0489433,0.04%,-0.010%,0.03%
420.566,0.0704739,0.117521,0.0470471,0.04%,-0.009%,0.03%
422.052,0.06713,0.112351,0.045221,0.04%,-0.008%,0.03%
423.539,0.0639432,0.107406,0.0434628,0.04%,-0.009%,0.03%
425.025,0.0609062,0.102676,0.0417698,0.04%,-0.008%,0.03%
426.511,0.058012,0.0981531,0.0401411,0.04%,-0.007%,0.03%
427.997,0.0552541,0.093827,0.0385729,0.03%,-0.007%,0.03%
429.483,0.0526259,0.0896896,0.0370637,0.03%,-0.006%,0.03%
430.969,0.0501216,0.0857328,0.0356112,0.03%,-0.007%,0.02%
432.455,0.0477352,0.0819488,0.0342136,0.03%,-0.006%,0.02%
433.941,0.0454614,0.07833,0.0328686,0.03%,-0.006%,0.02%
435.427,0.0432948,0.0748694,0.0315746,0.03%,-0.005%,0.02%
436.913,0.0412305,0.07156,0.0303295,0.03%,-0.005%,0.02%
438.4,0.0392636,0.0683954,0.0291318,0.03%,-0.004%,0.02%
439.886,0.0373896,0.0653694,0.0279798,0.02%,-0.005%,0.02%
441.372,0.0356042,0.0624757,0.0268715,0.02%,-0.005%,0.02%
442.858,0.0339032,0.0597089,0.0258057,0.02%,-0.004%,0.02%
444.344,0.0322827,0.0570632,0.0247805,0.02%,-0.004%,0.02%
445.83,0.0307389,0.0545336,0.0237947,0.02%,-0.004%,0.02%
447.316,0.0292681,0.0521149,0.0228468,0.02%,-0.003%,0.02%
448.802,0.027867,0.0498023,0.0219353,0.02%,-0.003%,0.02%
450.288,0.0265324,0.0475913,0.0210589,0.02%,-0.003%,0.02%
451.774,0.025261,0.0454774,0.0202164,0.02%,-0.003%,0.02%
453.261,0.0240499,0.0434564,0.0194065,0.02%,-0.002%,0.02%
454.747,0.0228964,0.0415242,0.0186278,0.02%,-0.002%,0.01%
456.233,0.0217976,0.039677,0.0178794,0.02%,-0.002%,0.01%
457.719,0.0207509,0.0379111,0.0171602,0.02%,-0.002%,0.01%
459.205,0.0197541,0.0362229,0.0164688,0.01%,-0.003%,0.01%
460.691,0.0188046,0.0346091,0.0158045,0.01%,-0.002%,0.01%
462.177,0.0179003,0.0330664,0.0151661,0.01%,-0.002%,0.01%
463.663,0.0170391,0.0315917,0.0145526,0.01%,-0.002%,0.01%
465.149,0.0162189,0.030182,0.0139631,0.01%,-0.002%,0.01%
466.635,0.0154377,0.0288346,0.0133969,0.01%,-0.002%,0.01%
468.122,0.0146938,0.0275466,0.0128528,0.01%,-0.002%,0.01%
469.608,0.0139854,0.0263155,0.0123301,0.01%,-0.002%,0.01%
471.094,0.0133108,0.0251389,0.0118281,0.01%,-0.001%,0.01%
472.58,0.0126683,0.0240142,0.0113459,0.01%,-0.001%,0.01%
474.066,0.0120566,0.0229393,0.0108827,0.01%,-0.001%,0.01%
475.552,0.0114741,0.0219119,0.0104378,0.01%,-0.001%,0.01%
477.038,0.0109194,0.02093,0.0100106,0.01%,-0.001%,0.01%
478.524,0.0103912,0.0199916,0.0096004,0.01%,-0.001%,0.01%
