PX, vold,µ¨Å¸%,µ¨Å¸$,°¨¸¶$,°¨¸¶$2
574.731,4.08E-08,-4.06956E-09,-2.3389E-06,0.00%,0.00%
576.201,3.50E-08,-3.87354E-09,-2.23194E-06,0.00%,0.00%
577.671,2.94E-08,-3.70714E-09,-2.14151E-06,0.00%,0.00%
579.141,2.41E-08,-3.56895E-09,-2.06692E-06,0.00%,0.00%
580.611,1.90E-08,-3.45893E-09,-2.00829E-06,0.00%,0.00%
582.08,1.39E-08,-3.37364E-09,-1.96373E-06,0.00%,0.00%
583.55,9.04E-09,-3.31233E-09,-1.93291E-06,0.00%,0.00%
585.02,4.20E-09,-3.27659E-09,-1.91687E-06,0.00%,0.00%
586.49,-5.96E-10,-3.26474E-09,-1.91474E-06,0.00%,0.00%
587.96,-5.39E-09,,,,
