PX, vold, uold, vold vol up, uold vol up,vega
429.483,1.01388,1.01404,1.01374,1.01398,-0.006%
430.969,1.01389,1.01405,1.01375,1.01398,-0.007%
432.455,1.0139,1.01405,1.01377,1.01399,-0.006%
433.941,1.01391,1.01405,1.01379,1.01399,-0.006%
435.427,1.01392,1.01405,1.01381,1.014,-0.005%
436.913,1.01393,1.01405,1.01382,1.014,-0.005%
438.4,1.01394,1.01405,1.01384,1.01401,-0.004%
439.886,1.01395,1.01406,1.01385,1.01401,-0.005%
441.372,1.01395,1.01406,1.01386,1.01401,-0.005%
442.858,1.01396,1.01406,1.01387,1.01402,-0.004%
444.344,1.01397,1.01406,1.01388,1.01402,-0.004%
445.83,1.01397,1.01406,1.0139,1.01402,-0.004%
447.316,1.01398,1.01406,1.01391,1.01403,-0.003%
448.802,1.01399,1.01406,1.01391,1.01403,-0.003%
450.288,1.01399,1.01406,1.01392,1.01403,-0.003%
451.774,1.014,1.01406,1.01393,1.01403,-0.003%
453.261,1.014,1.01406,1.01394,1.01404,-0.002%
454.747,1.01401,1.01406,1.01395,1.01404,-0.002%
456.233,1.01401,1.01406,1.01396,1.01404,-0.002%
457.719,1.01401,1.01406,1.01396,1.01404,-0.002%
459.205,1.01402,1.01407,1.01397,1.01404,-0.003%
460.691,1.01402,1.01407,1.01397,1.01405,-0.002%
462.177,1.01402,1.01407,1.01398,1.01405,-0.002%
463.663,1.01403,1.01407,1.01399,1.01405,-0.002%
465.149,1.01403,1.01407,1.01399,1.01405,-0.002%
466.635,1.01403,1.01407,1.01399,1.01405,-0.002%
468.122,1.01403,1.01407,1.014,1.01405,-0.002%
469.608,1.01404,1.01407,1.014,1.01405,-0.002%
471.094,1.01404,1.01407,1.01401,1.01406,-0.001%
472.58,1.01404,1.01407,1.01401,1.01406,-0.001%
474.066,1.01404,1.01407,1.01401,1.01406,-0.001%
475.552,1.01404,1.01407,1.01402,1.01406,-0.001%
477.038,1.01405,1.01407,1.01402,1.01406,-0.001%
478.524,1.01405,1.01407,1.01402,1.01406,-0.001%
480.01,1.01405,1.01407,1.01403,1.01406,-0.001%
481.496,1.01405,1.01407,1.01403,1.01406,-0.001%
482.983,1.01405,1.01407,1.01403,1.01406,-0.001%
484.469,1.01405,1.01407,1.01403,1.01406,-0.001%
485.955,1.01405,1.01407,1.01404,1.01406,-0.001%
487.441,1.01406,1.01407,1.01404,1.01406,-0.001%
488.927,1.01406,1.01407,1.01404,1.01406,-0.001%
490.413,1.01406,1.01407,1.01404,1.01406,-0.001%
491.899,1.01406,1.01407,1.01404,1.01406,-0.001%
493.385,1.01406,1.01407,1.01405,1.01407,0.000%
494.871,1.01406,1.01407,1.01405,1.01407,0.000%
496.357,1.01406,1.01407,1.01405,1.01407,0.000%
497.844,1.01406,1.01407,1.01405,1.01407,0.000%
499.33,1.01406,1.01407,1.01405,1.01407,0.000%
500.816,1.01406,1.01407,1.01405,1.01407,0.000%
502.302,1.01406,1.01407,1.01405,1.01407,0.000%
503.788,1.01406,1.01407,1.01405,1.01407,0.000%
505.274,1.01406,1.01407,1.01406,1.01407,0.000%
506.76,1.01406,1.01407,1.01406,1.01407,0.000%
508.246,1.01407,1.01407,1.01406,1.01407,0.000%
509.732,1.01407,1.01407,1.01406,1.01407,0.000%
511.218,1.01407,1.01407,1.01406,1.01407,0.000%
512.705,1.01407,1.01407,1.01406,1.01407,0.000%
514.191,1.01407,1.01407,1.01406,1.01407,0.000%
515.677,1.01407,1.01407,1.01406,1.01407,0.000%
517.163,1.01407,1.01407,1.01406,1.01407,0.000%
518.649,1.01407,1.01407,1.01406,1.01407,0.000%
520.135,1.01407,1.01407,1.01406,1.01407,0.000%
521.621,1.01407,1.01407,1.01406,1.01407,0.000%
523.107,1.01407,1.01407,1.01406,1.01407,0.000%
524.593,1.01407,1.01407,1.01406,1.01407,0.000%
526.079,1.01407,1.01407,1.01407,1.01407,0.000%
527.566,1.01407,1.01407,1.01407,1.01407,0.000%
529.052,1.01407,1.01407,1.01407,1.01407,0.000%
530.538,1.01407,1.01407,1.01407,1.01407,0.000%
532.024,1.01407,1.01407,1.01407,1.01407,0.000%
533.51,1.01407,1.01407,1.01407,1.01407,0.000%
534.996,1.01407,1.01407,1.01407,1.01407,0.000%
536.482,1.01407,1.01407,1.01407,1.01407,0.000%
537.968,1.01407,1.01407,1.01407,1.01407,0.000%
539.454,1.01407,1.01407,1.01407,1.01407,0.000%
540.94,1.01407,1.01407,1.01407,1.01407,0.000%
542.427,1.01407,1.01407,1.01407,1.01407,0.000%
543.913,1.01407,1.01407,1.01407,1.01407,0.000%
545.399,1.01407,1.01407,1.01407,1.01407,0.000%
546.885,1.01407,1.01407,1.01407,1.01407,0.000%
548.371,1.01407,1.01407,1.01407,1.01407,0.000%
549.857,1.01407,1.01407,1.01407,1.01407,0.000%
551.343,1.01407,1.01407,1.01407,1.01407,0.000%
552.829,1.01407,1.01407,1.01407,1.01407,0.000%
554.315,1.01407,1.01407,1.01407,1.01407,0.000%
555.801,1.01407,1.01407,1.01407,1.01407,0.000%
557.288,1.01407,1.01407,1.01407,1.01407,0.000%
558.774,1.01407,1.01407,1.01407,1.01407,0.000%
560.26,1.01407,1.01407,1.01407,1.01407,0.000%
561.746,1.01407,1.01407,1.01407,1.01407,0.000%
563.232,1.01407,1.01407,1.01407,1.01407,0.000%
564.718,1.01407,1.01407,1.01407,1.01407,0.000%
566.204,1.01407,1.01407,1.01407,1.01407,0.000%
567.69,1.01407,1.01407,1.01407,1.01407,0.000%
569.176,1.01407,1.01407,1.01407,1.01407,0.000%
570.662,1.01407,1.01407,1.01407,1.01407,0.000%
572.149,1.01407,1.01407,1.01407,1.01407,0.000%
573.635,1.01407,1.01407,1.01407,1.01407,0.000%
575.121,1.01407,1.01407,1.01407,1.01407,0.000%
576.607,1.01407,1.01407,1.01407,1.01407,0.000%
578.093,1.01407,1.01407,1.01407,1.01407,0.000%
579.579,1.01407,1.01407,1.01407,1.01407,0.000%
581.065,1.01407,1.01407,1.01407,1.01407,0.000%
582.551,1.01407,1.01407,1.01407,1.01407,0.000%
584.037,1.01407,1.01407,1.01407,1.01407,0.000%
585.523,1.01407,1.01407,1.01407,1.01407,0.000%
587.01,1.01407,1.01407,1.01407,1.01407,0.000%
588.496,1.01407,1.01407,1.01407,1.01407,0.000%
589.982,1.01407,1.01407,1.01407,1.01407,0.000%
591.468,1.01407,1.01407,1.01407,1.01407,0.000%
592.954,1.01407,1.01407,1.01407,1.01407,0.000%
594.44,1.01407,1.01407,1.01407,1.01407,0.000%
