PX%,발행시,6개월후,12개월후,18개월후,24개월후,30개월후,만기,PX,델타(발행시),델타(6개월),델타(12개월),델타(18개월),델타(24개월),델타(30개월),델타(만기),감마(발행시),감마(6개월),감마(12개월),감마(18개월),감마(24개월),감마(30개월),감마(만기),,발행시 volup,6개월후up,12개월후up,18개월후uip,24개월후up,30개월후up,만기up,발행시 VEGA,6개월후VEGA,12개월후VEGA,18개월후VEGA,24개월후VEGA,30개월후VEGA,만기VEGA
23%,21.44%,21.82%,21.93%,22.33%,22.44%,22.86%,23.00%,68.3606,21.50%,21.82%,21.93%,22.33%,22.44%,22.86%,23.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.214437,0.218182,0.219263,0.223253,0.224389,0.228579,0.23,-0.003%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
24%,21.91%,22.29%,22.40%,22.81%,22.93%,23.35%,23.50%,69.8467,21.97%,22.30%,22.40%,22.81%,22.93%,23.35%,23.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.219116,0.222926,0.22403,0.228106,0.229267,0.233548,0.235,-0.004%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
24%,22.38%,22.77%,22.88%,23.30%,23.41%,23.85%,24.00%,71.3328,22.45%,22.77%,22.88%,23.30%,23.41%,23.85%,24.00%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.223798,0.227671,0.228797,0.232959,0.234145,0.238517,0.24,-0.004%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
25%,22.84%,23.24%,23.36%,23.78%,23.90%,24.35%,24.50%,72.8189,22.93%,23.25%,23.36%,23.78%,23.90%,24.35%,24.50%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.228482,0.232417,0.233563,0.237813,0.239023,0.243486,0.245,-0.005%,-0.001%,0.000%,0.000%,0.000%,0.000%,0.000%
25%,23.31%,23.72%,23.83%,24.27%,24.39%,24.85%,25.00%,74.305,23.41%,23.73%,23.83%,24.27%,24.39%,24.84%,25.00%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.233169,0.237163,0.23833,0.242666,0.243901,0.248455,0.25,-0.005%,-0.001%,0.000%,0.000%,0.000%,0.000%,0.000%
26%,23.78%,24.19%,24.31%,24.75%,24.88%,25.34%,25.50%,75.7911,23.89%,24.20%,24.31%,24.75%,24.88%,25.34%,25.50%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.237859,0.241909,0.243097,0.247519,0.248779,0.253424,0.255,-0.006%,-0.001%,0.000%,0.000%,0.000%,0.000%,0.000%
26%,24.25%,24.66%,24.79%,25.24%,25.37%,25.84%,26.00%,77.2772,24.38%,24.68%,24.79%,25.24%,25.37%,25.84%,26.00%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.242553,0.246656,0.247864,0.252373,0.253657,0.258394,0.26,-0.007%,-0.001%,0.000%,0.000%,0.000%,0.000%,0.000%
27%,24.72%,25.14%,25.26%,25.72%,25.85%,26.34%,26.50%,78.7633,24.86%,25.16%,25.27%,25.72%,25.85%,26.34%,26.50%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.247249,0.251404,0.252631,0.257226,0.258535,0.263363,0.265,-0.007%,-0.001%,0.000%,0.000%,0.000%,0.000%,0.000%
27%,25.19%,25.61%,25.74%,26.21%,26.34%,26.83%,27.00%,80.2494,25.35%,25.63%,25.74%,26.21%,26.34%,26.83%,27.00%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.25195,0.256153,0.257398,0.262079,0.263413,0.268332,0.27,-0.008%,-0.001%,0.000%,0.000%,0.000%,0.000%,0.000%
28%,25.66%,26.09%,26.22%,26.69%,26.83%,27.33%,27.50%,81.7355,25.84%,26.11%,26.22%,26.69%,26.83%,27.33%,27.50%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.256655,0.260903,0.262165,0.266933,0.268291,0.273301,0.275,-0.009%,-0.002%,0.000%,0.000%,0.000%,0.000%,0.000%
28%,26.13%,26.56%,26.69%,27.18%,27.32%,27.83%,28.00%,83.2216,26.33%,26.59%,26.70%,27.18%,27.32%,27.83%,28.00%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.261363,0.265654,0.266933,0.271786,0.273169,0.27827,0.28,-0.010%,-0.002%,0.000%,0.000%,0.000%,0.000%,0.000%
29%,26.60%,27.04%,27.17%,27.66%,27.80%,28.32%,28.50%,84.7077,26.82%,27.07%,27.17%,27.66%,27.80%,28.32%,28.50%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.266076,0.270407,0.2717,0.276639,0.278047,0.283239,0.285,-0.011%,-0.002%,0.000%,0.000%,0.000%,0.000%,0.000%
29%,27.07%,27.51%,27.65%,28.15%,28.29%,28.82%,29.00%,86.1938,27.32%,27.55%,27.65%,28.15%,28.29%,28.82%,29.00%,-0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.270794,0.275161,0.276468,0.281493,0.282925,0.288208,0.29,-0.012%,-0.003%,0.000%,0.000%,0.000%,0.000%,0.000%
30%,27.54%,27.99%,28.12%,28.63%,28.78%,29.32%,29.50%,87.6799,27.82%,28.04%,28.13%,28.63%,28.78%,29.32%,29.50%,-0.02%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.275517,0.279916,0.281236,0.286346,0.287803,0.293177,0.295,-0.013%,-0.003%,0.000%,0.000%,0.000%,0.000%,0.000%
30%,28.01%,28.46%,28.60%,29.12%,29.27%,29.81%,30.00%,89.166,28.32%,28.52%,28.61%,29.12%,29.27%,29.82%,30.00%,-0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.280244,0.284674,0.286005,0.2912,0.292681,0.298146,0.3,-0.014%,-0.004%,-0.001%,0.000%,0.000%,0.000%,0.000%
31%,28.48%,28.94%,29.08%,29.61%,29.76%,30.31%,30.50%,90.6521,28.82%,29.00%,29.08%,29.61%,29.76%,30.31%,30.50%,-0.02%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.284976,0.289433,0.290773,0.296053,0.297559,0.303116,0.305,-0.015%,-0.004%,-0.001%,0.000%,0.000%,0.000%,0.000%
31%,28.96%,29.41%,29.55%,30.09%,30.24%,30.81%,31.00%,92.1382,29.32%,29.49%,29.56%,30.09%,30.24%,30.81%,31.00%,-0.02%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.289714,0.294195,0.295543,0.300907,0.302437,0.308085,0.31,-0.016%,-0.005%,-0.001%,0.000%,0.000%,0.000%,0.000%
32%,29.43%,29.89%,30.03%,30.58%,30.73%,31.31%,31.50%,93.6243,29.83%,29.98%,30.04%,30.58%,30.73%,31.30%,31.50%,-0.02%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.294458,0.298959,0.300313,0.30576,0.307315,0.313054,0.315,-0.017%,-0.005%,-0.001%,0.000%,0.000%,0.000%,0.000%
32%,29.90%,30.37%,30.51%,31.06%,31.22%,31.80%,32.00%,95.1104,30.34%,30.47%,30.52%,31.06%,31.22%,31.80%,32.00%,-0.02%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.299207,0.303726,0.305083,0.310614,0.312193,0.318023,0.32,-0.018%,-0.006%,-0.001%,0.000%,0.000%,0.000%,0.000%
33%,30.38%,30.84%,30.98%,31.55%,31.71%,32.30%,32.50%,96.5965,30.85%,30.96%,31.00%,31.55%,31.71%,32.30%,32.50%,-0.03%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.303962,0.308495,0.309855,0.315467,0.317071,0.322992,0.325,-0.020%,-0.007%,-0.001%,0.000%,0.000%,0.000%,0.000%
