numMC,PL,,
884,2.03199,1.625592,
885,2.51524,2.012192,
886,1.94813,1.558504,
887,0.881907,0.7055256,
888,-0.226709,-0.1813672,
889,-0.458823,-0.3670584,
890,2.07524,1.660192,
891,1.21981,0.975848,
892,1.45449,1.163592,
893,0.388698,0.3109584,
894,-0.904873,-0.7238984,
895,-2.62757,-2.102056,
896,-1.4695,-1.1756,
897,0.616571,0.4932568,
898,-0.0786133,-0.06289064,
899,0.663447,0.5307576,
900,0.150804,0.1206432,
901,0.656098,0.5248784,
902,2.12164,1.697312,
903,-0.315589,-0.2524712,
904,-0.657462,-0.5259696,
905,-1.59264,-1.274112,
906,-0.570464,-0.4563712,
907,0.993836,0.7950688,
908,-0.269027,-0.2152216,
909,0.0105386,0.00843088,
910,-0.568017,-0.4544136,
911,0.659288,0.5274304,
912,0.699496,0.5595968,
913,0.617711,0.4941688,
914,-0.140584,-0.1124672,
915,0.490631,0.3925048,
916,-0.457624,-0.3660992,
917,1.57745,1.26196,
918,1.13692,0.909536,
919,-0.161594,-0.1292752,
920,2.65689,2.125512,
921,-1.48895,-1.19116,
922,-0.423928,-0.3391424,
923,0.585363,0.4682904,
924,0.0850635,0.0680508,
925,1.29825,1.0386,
926,-0.593689,-0.4749512,
927,1.20504,0.964032,
928,-0.0129197,-0.01033576,
929,-2.15312,-1.722496,
930,1.36641,1.093128,
931,2.55423,2.043384,
932,1.56515,1.25212,
933,-0.0362104,-0.02896832,
934,-0.718719,-0.5749752,
935,0.53929,0.431432,
936,-0.067045,-0.053636,
937,0.0817895,0.0654316,
938,0.0703894,0.05631152,
939,2.04131,1.633048,
940,0.514776,0.4118208,
941,-0.546505,-0.437204,
942,0.485581,0.3884648,
943,-0.7057,-0.56456,
944,0.904408,0.7235264,
945,-0.102632,-0.0821056,
946,-1.92063,-1.536504,
947,0.54089,0.432712,
948,1.35131,1.081048,
949,1.42476,1.139808,
950,0.794345,0.635476,
951,-0.0493307,-0.03946456,
952,0.327312,0.2618496,
953,0.0772887,0.06183096,
954,1.56656,1.253248,
955,-0.673078,-0.5384624,
956,0.263109,0.2104872,
957,-0.190824,-0.1526592,
958,2.31016,1.848128,
959,1.32349,1.058792,
960,0.985605,0.788484,
961,1.35788,1.086304,
962,1.32614,1.060912,
963,1.83877,1.471016,
964,-1.25462,-1.003696,
965,0.641846,0.5134768,
966,1.49005,1.19204,
967,0.143611,0.1148888,
968,-0.267055,-0.213644,
969,0.701727,0.5613816,
970,-1.42556,-1.140448,
971,-0.421369,-0.3370952,
972,1.46021,1.168168,
973,-0.128265,-0.102612,
974,-1.13782,-0.910256,
