numMC,PL,,,,
318,-0.00211384,0,,,
319,-0.00308412,0,,,
320,0.00129674,0,,,
321,-0.000549534,0,,,
322,-0.002181,0,,,
323,-0.00934534,0,,,
324,-0.00518185,0,,,
325,0.000526237,0,,,
326,0.000596156,0,,,
327,0.0179461,0,,,
328,0.00342012,0,,,
329,0.00200341,0,,,
330,-0.00502329,0,,,
331,-0.00115639,0,,,
332,-0.00426738,0,,,
333,0.00767408,0,,,
334,0.00318921,0,,,
335,0.00461889,0,,,
336,0.00122684,0,,,
337,-0.00714109,0,,,
338,-0.00989944,0,,,
339,0.00398999,0,,,
340,0.00257909,0,,,
341,-0.00316259,0,,,
342,-0.00421861,0,,,
343,-0.00159166,0,,,
344,-0.00931761,0,,,
345,-0.000124965,0,,,
346,0.000242641,0,,,
347,0.0110619,0,,,
348,-0.00370708,0,,,
349,0.00235989,0,,,
350,0.00489966,0,,,
351,0.0022247,0,,,
352,0.00435023,0,,,
353,0.00206832,0,,,
354,-0.000748004,0,,,
355,-0.00402352,0,,,
356,-0.00372013,0,,,
357,0.00142077,0,,,
358,0.00280249,0,,,
359,0.000547338,0,,,
360,-0.0133148,1,,,
361,0.00234148,0,,,
362,-0.00154636,0,,,
363,0.00162348,0,,,
364,0.00121807,0,,,
365,0.000678622,0,,,
366,-0.00113737,0,,,
367,-0.00396178,0,,,
368,0.00213305,0,,,
