tau,s_tmp,cash,delta,pv,r,q,PL
52,292.135,0.582247,0.0013919,0.98963,0.0144829,0,-0.000761382
53,288.363,0.508887,0.00164638,0.984062,0.0145064,0,-0.000420393
54,288.79,0.509311,0.00164498,0.984909,0.0145299,0,-0.000544219
55,286.937,0.486511,0.00172451,0.982006,0.0145535,0,-0.00066877
56,285.672,0.466147,0.00179586,0.979969,0.014577,0,-0.000794122
57,288.069,0.510818,0.00164086,0.984249,0.0146006,0,-0.000750019
58,286.236,0.487897,0.00172101,0.981297,0.0146241,0,-0.000786171
59,286.873,0.488243,0.00171987,0.982567,0.0146477,0,-0.000939916
60,290.748,0.563948,0.00145956,0.988909,0.0146712,0,-0.000597579
61,291.015,0.564727,0.00145703,0.989494,0.0146947,0.0181544,-0.000749218
62,292.088,0.590266,0.00136975,0.991196,0.0147183,0.01874,-0.000842917
63,294.849,0.638348,0.00120683,0.995004,0.0147418,0.0193257,-0.000823697
64,294.558,0.61627,0.00128193,0.994818,0.0147654,0.0199113,-0.000944443
65,291.4,0.568286,0.00144676,0.990784,0.0147889,0.0204969,-0.00091277
66,291.765,0.569091,0.00144416,0.991484,0.0148125,0.0210825,-0.00103734
67,287.66,0.517704,0.00162297,0.985425,0.014836,0.0216682,-0.000858165
68,286.358,0.494357,0.00170467,0.983433,0.0148595,0.0222538,-0.000930117
69,291.321,0.572575,0.00143635,0.991438,0.0148831,0.0228394,-0.000423314
70,286.778,0.496619,0.00170139,0.98456,0.0149066,0.023425,-2.11599e-05
71,288.152,0.521423,0.00161549,0.987045,0.0149302,0.0240107,-0.000115663
72,286.544,0.497714,0.00169841,0.984576,0.0149537,0.0245963,-0.000191997
73,283.212,0.455271,0.00184847,0.978821,0.0149772,0.0251819,-4.21151e-05
74,285.705,0.477499,0.00177086,0.983538,0.0150008,0.0257675,-9.50072e-05
75,282.663,0.434496,0.00192319,0.978212,0.0150243,0.0263532,-0.000100805
76,282.691,0.435153,0.00192108,0.978498,0.0150479,0.0269388,-0.000274494
77,281.448,0.413213,0.00199924,0.976335,0.0150714,0.0275244,-0.000440602
78,285.658,0.481096,0.00176181,0.984347,0.015095,0.02811,2.53711e-05
79,285.84,0.481907,0.00175919,0.98489,0.0151185,0.0286957,-0.000137325
80,284.486,0.482723,0.00175653,0.982742,0.015142,0.0292813,-0.000311329
81,281.479,0.416678,0.00199138,0.977357,0.0151656,0.0298669,-0.00014744
